BioSample,LibraryName,refGenome,Run,Organism,BioProject,fq1,fq2
NS.1368.004.IDT_i7_176---IDT_i5_176.SH-19-054,lib_NS.1368.004.IDT_i7_176---IDT_i5_176.SH-19-054,GCF_902500615.1_NSP_V7_genomic,63,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_176---IDT_i5_176.SH-19-054_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_176---IDT_i5_176.SH-19-054_R2.fastq.gz
NS.1368.004.IDT_i7_184---IDT_i5_184.SH-19-034,lib_NS.1368.004.IDT_i7_184---IDT_i5_184.SH-19-034,GCF_902500615.1_NSP_V7_genomic,64,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_184---IDT_i5_184.SH-19-034_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_184---IDT_i5_184.SH-19-034_R2.fastq.gz
NS.1368.004.IDT_i7_185---IDT_i5_185.SH-19-047,lib_NS.1368.004.IDT_i7_185---IDT_i5_185.SH-19-047,GCF_902500615.1_NSP_V7_genomic,65,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_185---IDT_i5_185.SH-19-047_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_185---IDT_i5_185.SH-19-047_R2.fastq.gz
NS.1368.004.IDT_i7_188---IDT_i5_188.SH-19-055,lib_NS.1368.004.IDT_i7_188---IDT_i5_188.SH-19-055,GCF_902500615.1_NSP_V7_genomic,66,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_188---IDT_i5_188.SH-19-055_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_188---IDT_i5_188.SH-19-055_R2.fastq.gz
NS.1368.004.IDT_i7_1---IDT_i5_1.SH-19-043,lib_NS.1368.004.IDT_i7_1---IDT_i5_1.SH-19-043,GCF_902500615.1_NSP_V7_genomic,67,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_1---IDT_i5_1.SH-19-043_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_1---IDT_i5_1.SH-19-043_R2.fastq.gz
NS.1368.004.IDT_i7_22---IDT_i5_22.SH-19-002,lib_NS.1368.004.IDT_i7_22---IDT_i5_22.SH-19-002,GCF_902500615.1_NSP_V7_genomic,68,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_22---IDT_i5_22.SH-19-002_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_22---IDT_i5_22.SH-19-002_R2.fastq.gz
NS.1368.004.IDT_i7_23---IDT_i5_23.SH-19-010,lib_NS.1368.004.IDT_i7_23---IDT_i5_23.SH-19-010,GCF_902500615.1_NSP_V7_genomic,69,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_23---IDT_i5_23.SH-19-010_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_23---IDT_i5_23.SH-19-010_R2.fastq.gz
NS.1368.004.IDT_i7_24---IDT_i5_24.SH-19-019,lib_NS.1368.004.IDT_i7_24---IDT_i5_24.SH-19-019,GCF_902500615.1_NSP_V7_genomic,70,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_24---IDT_i5_24.SH-19-019_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_24---IDT_i5_24.SH-19-019_R2.fastq.gz
NS.1368.004.IDT_i7_25---IDT_i5_25.SH-19-056,lib_NS.1368.004.IDT_i7_25---IDT_i5_25.SH-19-056,GCF_902500615.1_NSP_V7_genomic,71,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_25---IDT_i5_25.SH-19-056_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_25---IDT_i5_25.SH-19-056_R2.fastq.gz
NS.1368.004.IDT_i7_34---IDT_i5_34.SH-19-003,lib_NS.1368.004.IDT_i7_34---IDT_i5_34.SH-19-003,GCF_902500615.1_NSP_V7_genomic,72,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_34---IDT_i5_34.SH-19-003_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_34---IDT_i5_34.SH-19-003_R2.fastq.gz
NS.1368.004.IDT_i7_35---IDT_i5_35.SH-19-011,lib_NS.1368.004.IDT_i7_35---IDT_i5_35.SH-19-011,GCF_902500615.1_NSP_V7_genomic,73,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_35---IDT_i5_35.SH-19-011_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_35---IDT_i5_35.SH-19-011_R2.fastq.gz
NS.1368.004.IDT_i7_36---IDT_i5_36.SH-19-020,lib_NS.1368.004.IDT_i7_36---IDT_i5_36.SH-19-020,GCF_902500615.1_NSP_V7_genomic,74,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_36---IDT_i5_36.SH-19-020_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_36---IDT_i5_36.SH-19-020_R2.fastq.gz
NS.1368.004.IDT_i7_37---IDT_i5_37.SH-19-057,lib_NS.1368.004.IDT_i7_37---IDT_i5_37.SH-19-057,GCF_902500615.1_NSP_V7_genomic,75,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_37---IDT_i5_37.SH-19-057_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_37---IDT_i5_37.SH-19-057_R2.fastq.gz
NS.1368.004.IDT_i7_45---IDT_i5_45.FSH025,lib_NS.1368.004.IDT_i7_45---IDT_i5_45.FSH025,GCF_902500615.1_NSP_V7_genomic,76,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_45---IDT_i5_45.FSH025_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_45---IDT_i5_45.FSH025_R2.fastq.gz
NS.1368.004.IDT_i7_46---IDT_i5_46.SH-19-004,lib_NS.1368.004.IDT_i7_46---IDT_i5_46.SH-19-004,GCF_902500615.1_NSP_V7_genomic,77,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_46---IDT_i5_46.SH-19-004_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_46---IDT_i5_46.SH-19-004_R2.fastq.gz
NS.1368.004.IDT_i7_47---IDT_i5_47.SH-19-012,lib_NS.1368.004.IDT_i7_47---IDT_i5_47.SH-19-012,GCF_902500615.1_NSP_V7_genomic,78,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_47---IDT_i5_47.SH-19-012_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_47---IDT_i5_47.SH-19-012_R2.fastq.gz
NS.1368.004.IDT_i7_48---IDT_i5_48.SH-19-021,lib_NS.1368.004.IDT_i7_48---IDT_i5_48.SH-19-021,GCF_902500615.1_NSP_V7_genomic,79,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_48---IDT_i5_48.SH-19-021_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_48---IDT_i5_48.SH-19-021_R2.fastq.gz
NS.1368.004.IDT_i7_49---IDT_i5_49.SH-19-058,lib_NS.1368.004.IDT_i7_49---IDT_i5_49.SH-19-058,GCF_902500615.1_NSP_V7_genomic,80,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_49---IDT_i5_49.SH-19-058_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_49---IDT_i5_49.SH-19-058_R2.fastq.gz
NS.1368.004.IDT_i7_57---IDT_i5_57.FSH059,lib_NS.1368.004.IDT_i7_57---IDT_i5_57.FSH059,GCF_902500615.1_NSP_V7_genomic,81,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_57---IDT_i5_57.FSH059_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_57---IDT_i5_57.FSH059_R2.fastq.gz
NS.1368.004.IDT_i7_58---IDT_i5_58.SH-19-005,lib_NS.1368.004.IDT_i7_58---IDT_i5_58.SH-19-005,GCF_902500615.1_NSP_V7_genomic,82,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_58---IDT_i5_58.SH-19-005_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_58---IDT_i5_58.SH-19-005_R2.fastq.gz
NS.1368.004.IDT_i7_59---IDT_i5_59.SH-19-013,lib_NS.1368.004.IDT_i7_59---IDT_i5_59.SH-19-013,GCF_902500615.1_NSP_V7_genomic,83,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_59---IDT_i5_59.SH-19-013_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_59---IDT_i5_59.SH-19-013_R2.fastq.gz
NS.1368.004.IDT_i7_60---IDT_i5_60.SH-19-022,lib_NS.1368.004.IDT_i7_60---IDT_i5_60.SH-19-022,GCF_902500615.1_NSP_V7_genomic,84,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_60---IDT_i5_60.SH-19-022_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_60---IDT_i5_60.SH-19-022_R2.fastq.gz
NS.1368.004.IDT_i7_61---IDT_i5_61.SH-19-059,lib_NS.1368.004.IDT_i7_61---IDT_i5_61.SH-19-059,GCF_902500615.1_NSP_V7_genomic,85,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_61---IDT_i5_61.SH-19-059_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_61---IDT_i5_61.SH-19-059_R2.fastq.gz
NS.1368.004.IDT_i7_69---IDT_i5_69.FSH102,lib_NS.1368.004.IDT_i7_69---IDT_i5_69.FSH102,GCF_902500615.1_NSP_V7_genomic,86,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_69---IDT_i5_69.FSH102_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_69---IDT_i5_69.FSH102_R2.fastq.gz
NS.1368.004.IDT_i7_70---IDT_i5_70.SH-19-006,lib_NS.1368.004.IDT_i7_70---IDT_i5_70.SH-19-006,GCF_902500615.1_NSP_V7_genomic,87,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_70---IDT_i5_70.SH-19-006_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_70---IDT_i5_70.SH-19-006_R2.fastq.gz
NS.1368.004.IDT_i7_71---IDT_i5_71.SH-19-014,lib_NS.1368.004.IDT_i7_71---IDT_i5_71.SH-19-014,GCF_902500615.1_NSP_V7_genomic,88,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_71---IDT_i5_71.SH-19-014_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_71---IDT_i5_71.SH-19-014_R2.fastq.gz
NS.1368.004.IDT_i7_72---IDT_i5_72.SH-19-023,lib_NS.1368.004.IDT_i7_72---IDT_i5_72.SH-19-023,GCF_902500615.1_NSP_V7_genomic,89,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_72---IDT_i5_72.SH-19-023_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_72---IDT_i5_72.SH-19-023_R2.fastq.gz
NS.1368.004.IDT_i7_82---IDT_i5_82.SH-19-007,lib_NS.1368.004.IDT_i7_82---IDT_i5_82.SH-19-007,GCF_902500615.1_NSP_V7_genomic,90,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_82---IDT_i5_82.SH-19-007_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_82---IDT_i5_82.SH-19-007_R2.fastq.gz
NS.1368.004.IDT_i7_83---IDT_i5_83.SH-19-016,lib_NS.1368.004.IDT_i7_83---IDT_i5_83.SH-19-016,GCF_902500615.1_NSP_V7_genomic,91,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_83---IDT_i5_83.SH-19-016_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_83---IDT_i5_83.SH-19-016_R2.fastq.gz
NS.1368.004.IDT_i7_84---IDT_i5_84.SH-19-024,lib_NS.1368.004.IDT_i7_84---IDT_i5_84.SH-19-024,GCF_902500615.1_NSP_V7_genomic,92,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_84---IDT_i5_84.SH-19-024_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_84---IDT_i5_84.SH-19-024_R2.fastq.gz
NS.1368.004.IDT_i7_93---IDT_i5_93.FSH105,lib_NS.1368.004.IDT_i7_93---IDT_i5_93.FSH105,GCF_902500615.1_NSP_V7_genomic,93,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_93---IDT_i5_93.FSH105_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_93---IDT_i5_93.FSH105_R2.fastq.gz
NS.1368.004.IDT_i7_94---IDT_i5_94.SH-19-008,lib_NS.1368.004.IDT_i7_94---IDT_i5_94.SH-19-008,GCF_902500615.1_NSP_V7_genomic,94,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_94---IDT_i5_94.SH-19-008_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_94---IDT_i5_94.SH-19-008_R2.fastq.gz
NS.1368.004.IDT_i7_95---IDT_i5_95.SH-19-017,lib_NS.1368.004.IDT_i7_95---IDT_i5_95.SH-19-017,GCF_902500615.1_NSP_V7_genomic,95,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_95---IDT_i5_95.SH-19-017_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_95---IDT_i5_95.SH-19-017_R2.fastq.gz
NS.1368.004.IDT_i7_96---IDT_i5_96.SH-19-025,lib_NS.1368.004.IDT_i7_96---IDT_i5_96.SH-19-025,GCF_902500615.1_NSP_V7_genomic,96,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_96---IDT_i5_96.SH-19-025_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_96---IDT_i5_96.SH-19-025_R2.fastq.gz
